label,c1,c2,h2,intensity
peak92,23.858,25.817,1.017,15478246
peak93,27.111,27.111,0.979,26235776
peak94,20.149,27.112,0.975,508572
peak95,27.603,27.111,0.972,1982694
peak96,22.800,27.109,0.972,7509287
peak97,27.244,27.111,0.979,7145808
peak98,22.832,27.112,0.979,7509287
peak99,26.300,26.300,0.939,9308549
peak100,17.179,26.301,0.937,1840054
peak101,22.580,26.300,0.939,199597
peak102,13.042,26.304,0.941,708409
peak103,20.915,26.300,0.941,2268942
peak104,19.912,26.300,0.939,1605231
peak105,23.575,26.298,0.936,7713063
peak106,25.686,26.300,0.936,4852965
peak107,23.755,26.301,0.939,4790768
peak108,25.686,25.686,0.934,43698536
peak109,17.179,25.686,0.933,1580815
peak110,22.580,25.686,0.933,803937
peak111,20.915,25.685,0.934,1589951
peak112,19.912,25.685,0.936,2584568
peak113,26.300,25.686,0.934,4350683
peak114,23.575,25.683,0.934,14984457
peak115,23.755,25.686,0.937,21808990
peak116,24.861,25.689,0.934,5927652
peak117,25.088,25.686,0.934,4091876
peak118,25.954,25.954,0.657,42213728
peak119,22.604,25.954,0.653,3914940
peak120,24.049,25.952,0.653,10695176
peak121,19.394,25.954,0.657,2393045
peak122,19.217,25.955,0.661,3134484
peak123,20.681,25.955,0.657,3590102
peak124,18.401,25.954,0.653,3236692
peak125,25.414,25.412,0.651,59354108
peak126,22.580,25.413,0.649,4838436
peak127,13.042,25.413,0.651,5727163
peak128,25.949,25.418,0.649,19075580
peak129,25.094,25.414,0.651,7332724
peak130,23.858,25.413,0.658,5533916
peak131,20.915,25.414,0.650,4090475
peak132,19.912,25.413,0.650,3469101
peak133,24.861,25.414,0.651,2741490
peak134,25.949,25.949,0.669,46911336
peak135,22.580,25.947,0.662,5072734
peak136,13.042,25.947,0.664,6084641
peak137,25.414,25.947,0.669,18385424
peak138,25.094,25.949,0.663,4499978
peak139,25.817,25.944,0.663,28428496
peak140,17.057,25.949,0.669,595922
peak141,23.858,25.949,0.665,5158636
peak142,20.915,25.949,0.664,5022586
peak143,19.912,25.949,0.669,5776038
peak144,23.014,23.015,0.057,14838820
peak145,25.515,23.014,0.055,4565363
peak146,20.609,23.012,0.055,953497
peak147,22.266,23.011,0.057,1710035
peak148,17.397,23.014,0.053,481483
peak149,18.807,18.807,0.828,3473440
peak150,22.489,18.805,0.821,2539405
peak151,23.829,18.807,0.826,402148
peak152,22.040,18.803,0.828,1217940
peak153,23.509,18.806,0.824,1013336
peak154,23.962,18.808,0.828,872159
peak155,27.789,18.807,0.831,1575288
peak156,22.418,18.804,0.828,2599679
peak157,20.228,20.228,1.109,14106034
peak158,13.562,20.222,1.106,2488672
peak159,20.426,20.221,1.107,4000797
peak160,19.469,20.228,1.104,3140357
peak161,25.094,25.094,1.011,149396288
peak162,25.414,25.095,1.010,9662330
peak163,25.949,25.092,1.010,17141278
peak164,25.817,25.094,1.013,45540116
peak165,21.011,25.096,1.013,1847130
peak166,17.057,25.094,1.011,1301554
peak167,23.858,25.093,1.010,8470098
peak168,24.473,24.473,1.387,14921003
peak169,23.858,24.471,1.385,1795968
peak170,19.394,24.473,1.383,1517780
peak171,19.217,24.471,1.387,2259458
peak172,21.008,24.473,1.386,1012974
peak173,19.912,19.912,0.653,12099005
peak174,22.580,19.913,0.652,1725522
peak175,13.042,19.913,0.652,2486510
peak176,25.414,19.912,0.653,4507986
peak177,25.949,19.914,0.649,6231362
peak178,20.915,19.912,0.653,4251370
peak179,26.300,19.912,0.653,1863096
peak180,23.575,19.914,0.652,2049967
peak181,25.686,19.913,0.652,3236913
peak182,23.755,19.914,0.653,2559813
peak183,24.861,19.912,0.656,8223927
peak184,25.088,19.912,0.653,3119244
