label,c1,c2,h2,short_range,intensity
peak393,24.608000,19.163000,-0.058000,,2669090.000000
peak394,19.483999,19.164000,-0.062000,,17120746.000000
peak395,21.399000,19.167999,-0.062000,,2186175.000000
peak396,21.141001,19.167000,-0.061000,,3788133.000000
peak397,20.742001,19.167000,-0.060000,x,7253756.000000
peak398,18.513000,19.167999,-0.062000,x,5035622.000000
peak400,23.916000,19.483000,-0.285000,,940068.000000
peak401,24.608000,19.482000,-0.285000,,2701050.000000
peak402,19.167999,19.482000,-0.287000,,16277939.000000
peak403,21.141001,19.483999,-0.287000,,1817428.000000
peak404,18.513000,19.483999,-0.284000,,4085916.000000
peak406,24.608000,21.141001,0.768000,,1510341.000000
peak407,19.483999,21.141001,0.771000,,2351252.000000
peak408,19.167999,21.139999,0.768000,,3662979.000000
peak409,21.399000,21.139999,0.770000,,29062204.000000
peak410,18.513000,21.141001,0.768000,,2354436.000000
peak412,22.636000,21.393000,0.581000,,2807662.000000
peak413,19.167999,21.399000,0.580000,,2063326.000000
peak414,21.141001,21.396999,0.584000,,30607020.000000
peak415,20.742001,21.396999,0.580000,,3589171.000000
peak416,18.513000,21.399000,0.580000,,4577057.000000
peak418,22.636000,18.511000,0.256000,x,5576282.000000
peak419,25.936001,18.513000,0.253000,x,6974668.000000
peak420,24.231001,18.511999,0.253000,x,4988980.000000
peak421,24.608000,18.511999,0.253000,,867698.000000
peak422,19.483999,18.513000,0.256000,,4151858.000000
peak423,19.167999,18.514000,0.257000,x,4428068.000000
peak424,21.399000,18.514000,0.257000,,3817108.000000
peak425,21.141001,18.513000,0.256000,,2759386.000000
peak426,20.742001,18.510000,0.256000,x,11710513.000000
peak428,22.636000,20.742001,-0.312000,,1929768.000000
peak429,25.936001,20.742001,-0.312000,x,6507214.000000
peak430,24.231001,20.740000,-0.313000,,3526170.000000
peak431,19.167999,20.740999,-0.315000,x,6860880.000000
peak432,21.399000,20.740999,-0.317000,,2532261.000000
peak433,18.513000,20.742001,-0.315000,x,11539577.000000
peak435,22.580999,19.941999,0.660000,,3234712.000000
peak436,12.932000,19.945000,0.661000,,3858289.000000
peak437,25.430000,19.945999,0.661000,x,6853595.000000
peak438,25.978001,19.945000,0.660000,x,12573367.000000
peak439,20.972000,19.941999,0.665000,x,11440308.000000
peak440,25.806999,19.944000,0.660000,,7141496.000000
peak441,23.639999,19.945000,0.667000,,2934658.000000
peak442,24.868000,19.948000,0.660000,x,15171522.000000
peak443,25.142000,19.945000,0.664000,,7081818.000000
peak445,22.580999,20.972000,0.589000,,4450006.000000
peak446,12.932000,20.972000,0.585000,x,7456849.000000
peak447,25.430000,20.976000,0.589000,,5644970.000000
peak448,25.978001,20.972000,0.585000,x,10609106.000000
peak449,19.945000,20.973000,0.589000,x,10324810.000000
peak450,26.261999,20.969999,0.589000,,6855404.000000
peak451,25.806999,20.975000,0.584000,,6053840.000000
peak452,23.639999,20.972000,0.584000,,2777138.000000
peak453,24.868000,20.974001,0.582000,,4458397.000000
peak454,25.142000,20.972000,0.589000,,2531062.000000
peak456,26.261999,23.368000,1.072000,x,15864886.000000
peak457,25.806999,23.367001,1.071000,,19081810.000000
peak458,23.639999,23.368000,1.076000,,19614356.000000
peak460,20.972000,26.261000,0.941000,,5258735.000000
peak461,23.368000,26.261999,0.941000,x,17587282.000000
peak462,25.806999,26.261000,0.941000,,7906299.000000
peak463,23.639999,26.261999,0.942000,,5707588.000000
peak465,22.580999,23.645000,0.937000,,959807.000000
peak466,20.972000,23.639999,0.933000,,3140160.000000
peak467,19.945000,23.642000,0.937000,,3078330.000000
peak468,26.261999,23.641001,0.938000,,7709329.000000
peak469,23.368000,23.639999,0.937000,,19985956.000000
peak470,25.806999,23.639999,0.941000,x,37586512.000000
peak471,24.868000,23.639999,0.937000,,7190474.000000
peak472,25.142000,23.639999,0.937000,,7526271.000000
peak474,22.580999,25.806000,0.944000,,973602.000000
peak475,20.972000,25.804001,0.942000,,4015746.000000
peak476,19.945000,25.806999,0.944000,,3525533.000000
peak477,26.261999,25.805000,0.942000,,9940877.000000
peak478,23.368000,25.806999,0.943000,,14735773.000000
peak479,23.639999,25.802999,0.943000,x,32848926.000000
peak480,24.868000,25.806999,0.944000,,7850880.000000
peak482,22.580999,25.143999,0.850000,,1001553.000000
peak483,25.978001,25.142000,0.850000,,4140864.000000
peak484,20.972000,25.139999,0.851000,,2130238.000000
peak485,19.945000,25.139999,0.852000,,6243766.000000
